client_order_id,symbol,side,units,status,created_at,filled_at,fill_price,broker_order_id,filled_units,metadata
cid-2dc5374dcd44479895b3b6efce85c711,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:29:38.348887+00,,,,,"{""mid"": 0.82274, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-19a75248747940d6b72527c6bf52eed4,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:31:47.237658+00,,,,,"{""mid"": 0.82265, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-89dabb27f6e6492d985ec077a4fa89c7,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:32:50.2302+00,,,,,"{""mid"": 0.82265, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-032b03ea06c0406cab2bcdf83db34758,EUR_USD,BUY,2,FILLED,2026-09-20 21:33:50.551444+00,2026-09-20 21:33:50.668675+00,1.14803,1589,2,"{""mid"": 1.148, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 1.148, ""slippage_signed"": 0.000030000000000196536}"
cid-bfad09b2ed8f41ed9a6fb1cabc0b4546,EUR_USD,BUY,2,FILLED,2026-09-20 21:41:57.6142+00,2026-09-20 21:41:57.742337+00,1.14806,1597,2,"{""mid"": 1.1481, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.1481, ""slippage_signed"": -0.00003999999999981796}"
cid-ae93edfa67b04d3dade5512ebefcc5e6,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:45:04.049479+00,,,,,"{""mid"": 1.33882, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-20b85bf7b54e471a95b179b4be631cb1,EUR_USD,BUY,2,FILLED,2026-09-20 21:55:16.016444+00,2026-09-20 21:55:16.134405+00,1.14822,1607,2,"{""mid"": 1.14812, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.14812, ""slippage_signed"": 0.00009999999999998899}"
cid-60e7f5c618da4d77842a8ccb69ea9899,USD_CHF,SELL,2,CANCELLED,2026-09-20 22:03:24.149665+00,,,,,"{""mid"": 0.82312, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-db49fd9cdc054bb7b9f4cd98020f2801,GBP_USD,BUY,1,FILLED,2026-09-20 22:04:24.564963+00,2026-09-20 22:04:24.679838+00,1.33937,1617,1,"{""mid"": 1.3387, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.3387, ""slippage_signed"": 0.0006699999999999484}"
cid-f1ebcd92bfbc4bfb95bd42f3fe533bee,USD_JPY,BUY,2,FILLED,2026-09-20 22:06:26.54292+00,2026-09-20 22:06:26.672594+00,156.757,1621,2,"{""mid"": 156.736, ""strategy"": ""swing_trend"", ""expected_mid"": 156.736, ""slippage_signed"": 0.021000000000015007}"
cid-a7456910c7c14ef1a9da9ae10e01c29c,USD_JPY,BUY,2,FILLED,2026-09-20 22:08:28.422583+00,2026-09-20 22:08:28.542307+00,156.832,1629,2,"{""mid"": 156.736, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 156.736, ""slippage_signed"": 0.09600000000000364}"
cid-4a3c542df482419b9c930f09b8ec1305,USD_JPY,BUY,2,FILLED,2026-09-20 22:11:32.132613+00,2026-09-20 22:11:32.260725+00,156.857,1637,2,"{""mid"": 156.848, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 156.848, ""slippage_signed"": 0.00899999999998613}"
cid-ae5081555da9418a9725141a96c313c9,USD_JPY,BUY,2,FILLED,2026-09-20 22:49:10.846101+00,2026-09-20 22:49:11.059112+00,157.028,1643,2,"{""mid"": 156.983, ""strategy"": ""swing_breakout"", ""expected_mid"": 156.983, ""slippage_signed"": 0.044999999999987494}"
cid-2a746f53c68e4edf804f3f9e60446a51,AUD_USD,BUY,1.5,FILLED,2026-09-20 23:51:03.029364+00,2026-09-20 23:51:03.148739+00,0.71231,1651,2,"{""mid"": 0.71229, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71229, ""slippage_signed"": 0.000020000000000020002}"
cid-9eb37fe227084c8080b6a7f73b6a463b,USD_CHF,SELL,2,FILLED,2026-09-21 00:05:14.105522+00,2026-09-21 00:05:14.227157+00,0.82263,1657,2,"{""mid"": 0.82274, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 0.82274, ""slippage_signed"": 0.0001100000000000545}"
cid-945adca679484b46b8a38161eecd392c,AUD_USD,SELL,3,FILLED,2026-09-21 00:12:19.462336+00,2026-09-21 00:12:19.575951+00,0.71239,1661,3,"{""mid"": 0.71236, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71236, ""slippage_signed"": -0.00002999999999997449}"
cid-ba90370638334d5197f7cb87047aeb71,AUD_USD,SELL,3,FILLED,2026-09-21 00:15:22.084852+00,2026-09-21 00:15:22.200879+00,0.7124,1669,3,"{""mid"": 0.71246, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 0.71246, ""slippage_signed"": 0.00005999999999994898}"
cid-0a2823f49e0d467a8a7cc6b7d8832f24,AUD_USD,SELL,3,FILLED,2026-09-21 00:27:31.749819+00,2026-09-21 00:27:31.869438+00,0.71262,1681,3,"{""mid"": 0.7127, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.7127, ""slippage_signed"": 0.00007999999999996898}"
cid-4fdb0dc3d11c4bac9cf3a96f09fe3577,AUD_USD,SELL,3,FILLED,2026-09-21 00:35:38.515987+00,2026-09-21 00:35:38.633709+00,0.71278,1689,3,"{""mid"": 0.71284, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71284, ""slippage_signed"": 0.000060000000000060005}"
cid-7e35a8d612b445c6b0281028facfaced,EUR_USD,SELL,2,FILLED,2026-09-21 00:40:42.428232+00,2026-09-21 00:40:42.544535+00,1.14849,1697,2,"{""mid"": 1.1484, ""strategy"": ""swing_trend"", ""expected_mid"": 1.1484, ""slippage_signed"": -0.00008999999999992347}"
cid-6adfb4f780f44d30831c96ae17633d72,EUR_USD,SELL,2,FILLED,2026-09-21 00:42:44.344087+00,2026-09-21 00:42:44.462355+00,1.14834,1705,2,"{""mid"": 1.1484, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 1.1484, ""slippage_signed"": 0.00006000000000017103}"
cid-ad70c32a3b834af18ef6f59184065067,AUD_USD,BUY,3,FILLED,2026-09-21 00:47:49.157442+00,2026-09-21 00:47:49.276423+00,0.71299,1717,3,"{""mid"": 0.71294, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71294, ""slippage_signed"": 0.00004999999999999449}"
cid-339c36156f1c4e7a9a7bd2b90899d95b,USD_CHF,BUY,2,FILLED,2026-09-21 00:47:49.539048+00,2026-09-21 00:47:49.657833+00,0.82228,1721,2,"{""mid"": 0.82223, ""strategy"": ""swing_trend"", ""expected_mid"": 0.82223, ""slippage_signed"": 0.00004999999999999449}"
cid-dac502a94fe24ded8493f610ca7541cf,USD_JPY,SELL,2,FILLED,2026-09-21 00:51:52.68774+00,2026-09-21 00:51:52.810454+00,156.738,1731,2,"{""mid"": 156.793, ""strategy"": ""trend"", ""expected_mid"": 156.793, ""slippage_signed"": 0.05500000000000682}"
cid-0f9e82657e394632a9a68f2441d6f66e,USD_CAD,BUY,2,FILLED,2026-09-21 00:52:53.883229+00,2026-09-21 00:52:53.998327+00,1.39944,1735,2,"{""mid"": 1.3994, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 1.3994, ""slippage_signed"": 0.000040000000000040004}"
